County,AccCount,Population
Glasscock,2,1388
Glenn,94,28047
Gloucester,505,328757
Glynn,62,85219
Gogebic,1,15096
Goliad,8,7584
Gonzales,7,20826
Goochland,124,23244
Goodhue,82,46403
Gooding,3,15196
Gordon,68,57685
Goshen,4,13376
Grady,7,80299
Grafton,139,89786
Graham,19,49048
Grainger,2,23145
Grand,59,25289
Grand Forks,2,70770
Grand Isle,1,7090
Grand Traverse,9,92573
Granite,3,3378
Grant,195,332142
Granville,47,60115
Gratiot,3,40599
Gray,1,27928
Grays Harbor,129,73901
Grayson,28,175943
Green,8,47978
Greenbrier,17,34786
Greene,1097,792666
Greenlee,11,9483
Greensville,56,11627
Greenville,8420,514213
Greenwood,585,76796
Gregg,78,123707
Grenada,5,21055
Grimes,4,28360
Grundy,59,86536
Guadalupe,83,168035
Guernsey,23,39022
Guilford,1058,533670
Gulf,14,16164
Gunnison,9,17246
Guthrie,3,10720
Gwinnett,989,927781
Habersham,46,45388
Hale,14,48556
Halifax,93,84694
Hall,152,266783
Hamblen,15,64569
Hamilton,4592,1573286
Hampden,137,470406
Hampshire,41,184702
Hampton,447,134313
Hampton City,2,134313
Hancock,212,335731
Hand,1,3262
Hanover,381,107239
Hanson,1,3376
Haralson,52,29533
Hardee,57,27245
Hardeman,1,29142
Hardin,33,245597
Harford,667,253956
Harnett,63,134214
Harney,120,7329
Harris,27114,4733094
Harrison,314,437780
Harrisonburg,66,54033
Hart,23,45005
Hartford,2245,892697
Harvey,1,34210
Hawkins,10,56530
Hays,219,222631
Haywood,122,79306
Heard,27,11879
Hempstead,4,21741
Henderson,72,279194
Hendricks,723,167009
Hendry,49,41556
Hennepin,8821,1259428
Henrico,2810,329261
Henry,756,513152
Herkimer,86,61833
Hernando,623,190865
Hertford,3,23659
Hickman,22,29484
Hidalgo,98,870179
Highland,26,45268
Highlands,89,105424
Hill,18,52701
Hillsborough,5094,1852135
Hinds,646,237085
Hocking,18,28385
Hoke,9,54764
Holmes,102,80991
Holt,8,14582
Hood,1,60537
Hood River,128,23428
Hopewell,16,22596
Hopkins,5,81878
Horry,3099,344147
Hot Spring,5,33701
Hot Springs,3,4555
Houghton,8,36219
Houston,182,310201
Howard,652,481154
Howell,1,40076
Hubbard,20,21332
Hudson,989,676061
Hudspeth,6,4795
Huerfano,44,6889
Hughes,5,30985
Humboldt,344,162706
Humphreys,10,26743
Hunt,29,96493
Hunterdon,228,124714
Huntingdon,13,45168
Huntington,8,36240
Huron,13,89670
Hutchinson,7,28578
Iberia,3,70941
Iberville,68,32721
Ida,3,6841
Idaho,10,16513
Imperial,8,181827
Independence,1,37678
Indian River,118,157413
Indiana,18,84501
Ingham,356,292735
Inyo,51,17987
Ionia,40,64210
Iosco,5,25081
Iowa,31,39912
Iredell,277,178435
Iron,177,79745
Iroquois,10,27604
Irwin,6,9398
Isabella,7,70562
Isanti,19,39966
Island,55,84460
Isle of Wight,39,36953
Itasca,25,45108
Itawamba,7,23517
Jackson,5050,1748022
James City,54,76397
Jasper,654,296075
Jay,1,20764
Jeff Davis,1,17281
Jefferson,10707,3229512
Jefferson Davis,28,11234
Jenkins,4,8683
Jennings,8,27611
Jerome,20,24015
Jersey,4,21847
Jessamine,11,53920
Jim Wells,6,40822
Jo Daviess,12,21366
Johnson,1853,1232717
Johnston,582,213624
Jones,41,148203
Josephine,545,87393
Juab,116,11555
Judith Basin,1,1952
Juneau,32,32113
Juniata,6,24704
Kalamazoo,163,264870
Kalkaska,3,17824
Kanabec,11,16207
Kanawha,188,180454
Kandiyohi,46,42855
Kane,1584,541925
Kankakee,13,110024
Kaufman,69,128622
Kay,6,44161
Kemper,1,10027
Kendall,38,173556
Kennebec,79,122083
Kenosha,148,169290
Kent,3619,1016306
Kenton,1045,166051
Keokuk,1,10225
Kern,2024,896764
Kerr,6,52405
Kershaw,762,65592
Kewaunee,2,20383
